"Name","Live Births by Race/Ethnicity"
"Description","<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of live births in New York City by maternal race/ethnicity."
"Source Notes","New York City Department of Health and Mental Hygiene. Epiquery: NYC Interactive Health Data System; Natality Module (2000-2017);&nbsp;<a href=""https://a816-healthpsi.nyc.gov/epiquery/""></a><a href=""https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank"">https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page</a>"
"Notes","""Other"" includes multiracial and unknown.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Asian,2000,Number,15106,3651000
New York City,Asian,2001,Number,14662,3651000
New York City,Asian,2002,Number,15396,3651000
New York City,Asian,2003,Number,16577,3651000
New York City,Asian,2004,Number,16736,3651000
New York City,Asian,2005,Number,16407,3651000
New York City,Asian,2006,Number,17356,3651000
New York City,Asian,2007,Number,19291,3651000
New York City,Asian,2008,Number,18204,3651000
New York City,Asian,2009,Number,17729,3651000
New York City,Asian,2010,Number,18047,3651000
New York City,Asian,2011,Number,19399,3651000
New York City,Asian,2012,Number,21149,3651000
New York City,Asian,2013,Number,19767,3651000
New York City,Asian,2014,Number,20746,3651000
New York City,Asian,2015,Number,20535,3651000
New York City,Hispanic,2000,Number,40310,3651000
New York City,Hispanic,2001,Number,40156,3651000
New York City,Hispanic,2002,Number,39907,3651000
New York City,Hispanic,2003,Number,39759,3651000
New York City,Hispanic,2004,Number,39798,3651000
New York City,Hispanic,2005,Number,39541,3651000
New York City,Hispanic,2006,Number,40411,3651000
New York City,Hispanic,2007,Number,40712,3651000
New York City,Hispanic,2008,Number,40380,3651000
New York City,Hispanic,2009,Number,40286,3651000
New York City,Hispanic,2010,Number,39345,3651000
New York City,Hispanic,2011,Number,37631,3651000
New York City,Hispanic,2012,Number,36642,3651000
New York City,Hispanic,2013,Number,35581,3651000
New York City,Hispanic,2014,Number,35650,3651000
New York City,Hispanic,2015,Number,35555,3651000
New York City,Black,2000,Number,32879,3651000
New York City,Black,2001,Number,32123,3651000
New York City,Black,2002,Number,30690,3651000
New York City,Black,2003,Number,29646,3651000
New York City,Black,2004,Number,29449,3651000
New York City,Black,2005,Number,28935,3651000
New York City,Black,2006,Number,29077,3651000
New York City,Black,2007,Number,29268,3651000
New York City,Black,2008,Number,27917,3651000
New York City,Black,2009,Number,27405,3651000
New York City,Black,2010,Number,26635,3651000
New York City,Black,2011,Number,25825,3651000
New York City,Black,2012,Number,24758,3651000
New York City,Black,2013,Number,24108,3651000
New York City,Black,2014,Number,23680,3651000
New York City,Black,2015,Number,23116,3651000
New York City,White,2000,Number,36752,3651000
New York City,White,2001,Number,36581,3651000
New York City,White,2002,Number,36445,3651000
New York City,White,2003,Number,38018,3651000
New York City,White,2004,Number,37659,3651000
New York City,White,2005,Number,37340,3651000
New York City,White,2006,Number,38231,3651000
New York City,White,2007,Number,39351,3651000
New York City,White,2008,Number,38383,3651000
New York City,White,2009,Number,38438,3651000
New York City,White,2010,Number,37780,3651000
New York City,White,2011,Number,38573,3651000
New York City,White,2012,Number,39112,3651000
New York City,White,2013,Number,39573,3651000
New York City,White,2014,Number,40443,3651000
New York City,White,2015,Number,40607,3651000
New York City,Other,2000,Number,287,3651000
New York City,Other,2001,Number,342,3651000
New York City,Other,2002,Number,324,3651000
New York City,Other,2003,Number,134,3651000
New York City,Other,2004,Number,250,3651000
New York City,Other,2005,Number,318,3651000
New York City,Other,2006,Number,270,3651000
New York City,Other,2007,Number,230,3651000
New York City,Other,2008,Number,2548,3651000
New York City,Other,2009,Number,2653,3651000
New York City,Other,2010,Number,2719,3651000
New York City,Other,2011,Number,1444,3651000
New York City,Other,2012,Number,1468,3651000
New York City,Other,2013,Number,1349,3651000
New York City,Other,2014,Number,1485,3651000
New York City,Other,2015,Number,1781,3651000
New York City,Hispanic,2016,Number,34074,3651000
New York City,Asian,2016,Number,21566,3651000
New York City,White,2016,Number,40633,3651000
New York City,Black,2016,Number,22465,3651000
New York City,Other,2016,Number,1534,3651000
New York City,Hispanic,2017,Number,32860,3651000
New York City,Asian,2017,Number,20110,3651000
New York City,White,2017,Number,40345,3651000
New York City,Black,2017,Number,21992,3651000
New York City,Other,2017,Number,1706,3651000
